"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Добавление товара","0","0","Промо новая акция","0"
"0","","0","Навигация","3","0","Переход на страницу логина","0"
"0","","9","Добавление товара в корзину","1","0","Гость может добавить товар с промо-акцией","0"
"0","","0","Уведомления","0","1","Проверка отсутствия сообщения об успехе","0"
"0","","0","Навигация","0","1","Отображение ссылки на логин","0"
"0","","0","Корзина","0","1","Проверка пустой корзины","0"
"0","","1","Авторизация пользователя","1","0","Добавление товара в корзину авторизованным пользователем","0"
"0","","0","Корзина","1","0","Пустая корзина при переходе со страницы товара","0"
"0","","0","Уведомления","0","1","Проверка исчезновения сообщения","0"
